symbol,underlying,expiration,strike,option_type,quantity,native_delta,native_gamma,native_theta,native_vega,native_source,stream_messages,stream_first_greek_latency_ms,stream_delta,stream_gamma,stream_theta,stream_vega
ES     FEB2026 6885 P (E3C),ES,2026-02-18,6885.0,put,-1.0,-0.0,-0.0,-0.0,-0.0,none,0,,,,,
MES    MAR2026 7100 C (EX1),MES,2026-03-06,7100.0,call,-1.0,-0.0,-0.0,-0.0,-0.0,none,0,,,,,
MES    APR2026 7450 C (EX3),MES,2026-04-17,7450.0,call,-1.0,-0.0,-0.0,-0.0,-0.0,none,0,,,,,
ES     FEB2026 6875 P (E3B),ES,2026-02-17,6875.0,put,0.0,0.0,0.0,0.0,0.0,none,0,,,,,
ES     APR2026 6700 P (EW2),ES,2026-04-10,6700.0,put,1.0,0.0,0.0,0.0,0.0,none,0,,,,,
MES    FEB2026 6880 C (X3B),MES,2026-02-17,6880.0,call,0.0,0.0,0.0,0.0,0.0,none,0,,,,,
MES    FEB2026 6930 P (EX3),MES,2026-02-20,6930.0,put,-1.0,-0.0,-0.0,-0.0,-0.0,none,0,,,,,
ES     MAR2026 6750 P (E3B),ES,2026-03-17,6750.0,put,1.0,0.0,0.0,0.0,0.0,none,0,,,,,
MES    APR2026 7125 C (EX),MES,2026-04-30,7125.0,call,1.0,0.0,0.0,0.0,0.0,none,0,,,,,
ES     FEB2026 6820 P (E3C),ES,2026-02-18,6820.0,put,1.0,0.0,0.0,0.0,0.0,none,0,,,,,
MES    FEB2026 6865 P (X3C),MES,2026-02-18,6865.0,put,-1.0,-0.0,-0.0,-0.0,-0.0,none,0,,,,,
ES     FEB2026 6580 P (EW),ES,2026-02-27,6580.0,put,2.0,0.0,0.0,0.0,0.0,none,0,,,,,
MES    FEB2026 6855 C (X3B),MES,2026-02-17,6855.0,call,0.0,0.0,0.0,0.0,0.0,none,0,,,,,
MES    MAR2026 7125 C,MES,2026-03-20,7125.0,call,1.0,0.0,0.0,0.0,0.0,none,0,,,,,
MES    FEB2026 6870 C (EX3),MES,2026-02-20,6870.0,call,3.0,0.0,0.0,0.0,0.0,none,0,,,,,
MES    FEB2026 6600 P (EX),MES,2026-02-27,6600.0,put,1.0,0.0,0.0,0.0,0.0,none,0,,,,,
ES     FEB2026 6975 P (EW),ES,2026-02-27,6975.0,put,-1.0,-0.0,-0.0,-0.0,-0.0,none,0,,,,,
MES    FEB2026 6795 P (X3B),MES,2026-02-17,6795.0,put,0.0,0.0,0.0,0.0,0.0,none,0,,,,,
ES     FEB2026 6870 P (EW),ES,2026-02-27,6870.0,put,-1.0,-0.0,-0.0,-0.0,-0.0,none,0,,,,,
ES     MAR2026 6625 P (EW),ES,2026-03-31,6625.0,put,1.0,0.0,0.0,0.0,0.0,none,0,,,,,
